,numPhotos,price,propertyType,size,exterior,rooms,bathrooms,address,municipality,latitude,longitude,showAddress,distance,hasVideo,status,newDevelopment,hasPlan,has3DTour,has360,topNewDevelopment,floor,district,neighborhood,hasLift
171,16,695.0,flat,67.0,True,2,1,Avenida de la Hispanidad,Fuenlabrada,402.841.243,-37.799.766,False,16111,False,good,False,False,False,False,False,Desconocido,Sudeste Industrial,Desconocido,False
172,17,650.0,flat,95.0,True,3,1,Calle de San Roque,Navalcarnero,402.854.975,-40.110.488,False,29884,False,good,False,False,False,False,False,Desconocido,Centro,Desconocido,True
173,11,675.0,flat,68.0,True,2,1,Calle Diego de Urbina,Alcalá de Henares,404.876.587,-33.555.155,False,30461,False,good,False,False,False,False,False,Desconocido,Juan de Austria,Desconocido,True
174,20,695.0,flat,65.0,True,2,1,Calle San Ciriaco,Madrid,404.039.568,-36.044.371,False,8484,False,good,False,False,False,False,False,Desconocido,Vicálvaro,Casco Histórico de Vicálvaro,False
175,12,750.0,flat,111.0,True,2,2,Centro,Parla,4.023.866,-376.976,False,20583,False,good,False,False,False,False,False,6,Centro,Desconocido,True
176,16,675.0,flat,35.0,False,1,1,Calle de Don Pedro s/n,Madrid,404.117.027,-37.132.995,True,1016,False,good,False,False,False,False,False,Desconocido,Desconocido,Desconocido,True
177,28,730.0,flat,60.0,False,3,1,Reyes,Parla,402.366.913,-37.681.298,False,20756,False,good,False,True,False,True,False,3,Reyes,Desconocido,False
178,21,690.0,flat,85.0,True,2,1,Calle Alfonso XIII,Parla,402.355.101,-37.644.926,False,20804,False,good,False,False,False,False,False,Desconocido,Reyes,Desconocido,True
179,14,750.0,flat,45.0,False,1,1,"Calle Conde de Vallellano, 5",Madrid,40.462.325,-36.983.636,True,5089,False,good,False,True,False,False,False,bj,Tetuán,Valdeacederas,False
180,21,600.0,studio,32.0,True,0,1,"Travesía de López de Aranda, 6",Madrid,404.428.709,-36.368.942,True,6325,False,good,False,False,False,False,False,1,San Blas,Salvador,True
181,28,723.0,studio,25.0,True,0,1,"Calle Beatriz Galindo, 12",Rivas-Vaciamadrid,403.413.759,-35.316.501,True,16775,True,newdevelopment,True,True,False,False,False,Desconocido,Rivas Futura,Desconocido,True
182,29,725.0,flat,50.0,True,1,1,"DEYANIRA, 59",Madrid,404.430.571,-3.584.077,True,10503,False,good,False,True,False,False,False,1,San Blas,Rejas,True
183,16,750.0,flat,67.0,True,3,1,Avenida España,Getafe,403.127.355,-37.210.287,False,11657,False,good,False,True,False,True,False,Desconocido,Desconocido,Desconocido,True
184,16,600.0,flat,45.0,True,2,1,Higuera,Mataelpino,407.351.814,-39.480.239,False,41003,True,good,False,False,False,False,False,Desconocido,Desconocido,Desconocido,False
185,42,750.0,flat,70.0,True,3,1,Calle de la Presa,San Fernando de Henares,404.265.112,-35.307.456,False,14642,False,good,False,False,False,False,False,2,Montserrat - Parque Empresarial,Desconocido,False
186,6,450.0,penthouse,60.0,True,1,1,Calle Hortensia,Villa del Prado,402.789.466,-43.049.356,False,53238,False,good,False,False,False,False,False,Desconocido,Desconocido,Desconocido,False
187,27,720.0,flat,54.0,True,1,1,Calle de Rascón,Madrid,403.938.982,-37.281.276,False,3296,True,good,False,True,False,True,False,bj,Carabanchel,San Isidro,False
188,8,550.0,penthouse,75.0,True,2,2,Calle Hortensia,Villa del Prado,402.796.466,-43.053.356,False,53247,False,good,False,False,False,False,False,Desconocido,Desconocido,Desconocido,False
189,30,720.0,flat,49.0,False,3,1,Calle de Godella,Madrid,403.418.997,-36.883.697,False,8411,True,good,False,True,False,True,False,3,Villaverde,San Cristóbal,False
190,38,740.0,flat,65.0,True,3,1,Calle Sacrificio,Madrid,404.049.726,-36.047.164,False,8443,False,good,False,False,False,False,False,1,Vicálvaro,Ambroz,True
191,72,660.0,flat,155.0,False,3,2,Calle de Versalles,Aranjuez,400.565.099,-35.934.267,False,41119,False,good,False,False,False,False,False,Desconocido,Desconocido,Desconocido,True
192,26,720.0,flat,56.0,False,2,1,Calle de Sáhara,Madrid,403.571.834,-36.915.155,False,6691,True,good,False,True,False,True,False,4,Villaverde,Los Rosales,False
193,22,650.0,flat,31.0,False,1,1,Calle del Doctor Fourquet,Madrid,404.064.335,-36.985.906,False,1207,False,good,False,False,False,False,False,3,Centro,Lavapiés-Embajadores,False
194,28,650.0,flat,96.0,True,2,1,Calle de San Juan,Aranjuez,400.299.792,-3.595.984,False,43953,True,good,False,True,False,True,False,3,Nuevo Aranjuez-Ciudad de las Artes,Desconocido,False
195,29,660.0,flat,168.0,False,4,2,Calle Acrópolis de Atenas,Aranjuez,400.557.898,-35.922.225,False,41221,True,good,False,True,False,True,False,3,La Montaña-El Cortijo,Desconocido,True
196,19,690.0,flat,64.0,True,2,1,Val,Alcalá de Henares,404.834.597,-33.519.837,False,30634,False,good,False,False,False,False,False,bj,Val,Desconocido,False
197,24,750.0,studio,25.0,True,0,1,Calle de Francisco Silvela,Madrid,404.282.477,-36.689.173,False,3177,False,good,False,True,False,False,False,5,Barrio de Salamanca,Lista,True
198,29,725.0,flat,45.0,True,1,1,"Calle de la Pirra, 44",Madrid,40.444.004,-3.584.382,True,10508,False,good,False,True,False,False,False,2,San Blas,Rejas,True
199,31,620.0,flat,85.0,False,1,1,Calle de Pedro Faura,Pinto,402.389.218,-37.030.263,False,19767,True,good,False,True,False,True,False,bj,San José - Buenos Aires,Desconocido,True
200,25,590.0,flat,52.0,True,1,1,Los Molinos,Los Molinos,407.039.311,-40.705.474,False,44526,False,good,False,False,False,False,False,bj,Desconocido,Desconocido,False
201,15,750.0,penthouse,80.0,True,0,1,Zona Industrial,Tres Cantos,406.038.483,-36.957.713,False,20818,False,good,False,False,False,False,False,1,Zona Industrial,Desconocido,True
202,24,720.0,studio,36.0,True,0,1,barrio San Juan Bautista,Madrid,404.514.903,-3.649.443,False,5975,False,good,False,False,False,True,False,2,Ciudad Lineal,San Juan Bautista,True
203,16,700.0,flat,82.0,True,2,1,San Pedro Regalado,San Lorenzo de el Escorial,405.938.213,-41.482.372,False,42463,False,good,False,False,False,False,False,3,Centro - Casco Histórico,Desconocido,False
204,19,692.0,flat,83.0,True,2,2,"Calle Valle de Ambles, 2",Torrejón de Ardoz,404.430.651,-34.659.877,True,20294,False,newdevelopment,True,True,False,False,False,Desconocido,Suroeste,Desconocido,True
205,19,670.0,flat,79.0,True,2,2,"Calle Valle de Ambles, 2",Torrejón de Ardoz,404.430.651,-34.659.877,True,20294,False,newdevelopment,True,True,False,False,False,Desconocido,Suroeste,Desconocido,True
206,14,609.0,flat,56.0,True,1,1,"Calle Álvaro Mutis, 1",Alcalá de Henares,405.126.166,-33.694.194,True,30186,False,newdevelopment,True,True,False,False,False,bj,Espartales,Desconocido,True
207,19,718.0,flat,86.0,True,2,2,"Calle Valle de Ambles, 2",Torrejón de Ardoz,404.430.651,-34.659.877,True,20294,False,newdevelopment,True,True,False,False,False,Desconocido,Suroeste,Desconocido,True
208,19,694.0,flat,81.0,True,2,2,"Calle Valle de Ambles, 2",Torrejón de Ardoz,404.430.651,-34.659.877,True,20294,False,newdevelopment,True,True,False,False,False,Desconocido,Suroeste,Desconocido,True
209,19,658.0,flat,78.0,True,2,2,"Calle Valle de Ambles, 2",Torrejón de Ardoz,404.430.651,-34.659.877,True,20294,False,newdevelopment,True,True,False,False,False,Desconocido,Suroeste,Desconocido,True
210,11,750.0,flat,36.0,False,2,1,"Calle Tenerife, 6",Madrid,404.492.198,-37.054.938,True,3620,False,good,False,False,False,False,False,2,Tetuán,Bellas Vistas,True
211,19,723.0,flat,88.0,True,2,2,"Calle Valle de Ambles, 2",Torrejón de Ardoz,404.430.651,-34.659.877,True,20294,False,newdevelopment,True,True,False,False,False,Desconocido,Suroeste,Desconocido,True
212,19,728.0,flat,91.0,True,2,2,"Calle Valle de Ambles, 2",Torrejón de Ardoz,404.430.651,-34.659.877,True,20294,False,newdevelopment,True,True,False,False,False,Desconocido,Suroeste,Desconocido,True
213,16,650.0,studio,28.0,True,0,1,Calle del Cactus,Madrid,404.608.285,-36.988.899,False,4920,False,good,False,False,False,True,False,bj,Tetuán,Valdeacederas,False
214,23,750.0,flat,60.0,False,2,1,Calle Santiago,Alcalá de Henares,40.484.995,-33.643.476,False,29663,True,good,False,False,False,False,False,1,Casco Histórico,Desconocido,False
215,30,735.0,flat,60.0,True,3,1,Calle Cafarnaúm,Parla,402.377.276,-37.780.729,False,20886,True,good,False,True,False,True,False,4,Parque Inlasa,Desconocido,False
216,24,699.0,penthouse,78.0,True,2,1,"Calle de la Retama, 19",Colmenar Viejo,406.608.574,-37.674.572,True,27684,False,good,False,False,False,False,False,2,Centro,Desconocido,False
217,28,725.0,flat,67.0,True,3,1,Calle Valladolid,Móstoles,403.206.268,-38.622.583,False,17191,True,good,False,True,False,True,False,4,Centro,Desconocido,False
218,21,740.0,flat,77.0,True,3,2,Calle Miguel Ángel,Alcalá de Henares,404.737.561,-33.762.869,False,28385,True,good,False,True,False,True,False,bj,Reyes Católicos,Desconocido,True
219,20,720.0,flat,73.0,True,1,1,"La fuente, 27",Collado Villalba,406.297.309,-40.042.674,True,34761,False,good,False,True,False,False,False,2,Villalba Estación,Desconocido,True
220,21,750.0,flat,79.0,True,3,1,"Calle Pizarro, 16",Getafe,403.132.454,-37.302.507,True,11728,False,good,False,False,False,False,False,en,Universidad,Desconocido,True
221,30,710.0,flat,66.0,True,3,1,Calle Cafarnaúm,Parla,402.400.853,-37.762.193,False,20588,True,good,False,True,False,True,False,4,Parque Inlasa,Desconocido,False
222,42,725.0,flat,62.0,True,2,1,Calle de Navalmoral de la Mata,Madrid,403.757.382,-37.772.753,False,7748,True,good,False,False,False,True,False,3,Latina,Águilas,False
223,22,750.0,flat,46.0,False,1,1,"Calle de eugenia de montijo, 59",Madrid,403.784.325,-37.476.971,True,5680,False,good,False,False,False,False,False,bj,Carabanchel,Puerta Bonita,False
224,32,750.0,flat,61.0,True,2,1,"Calle del Radio, 15",Madrid,403.921.768,-37.221.391,True,3161,False,good,False,False,False,False,False,1,Carabanchel,Opañel,True
225,28,730.0,flat,161.0,True,4,1,Calle de la Cruz,Aranjuez,400.282.361,-35.950.227,False,44159,True,good,False,True,False,True,False,3,Nuevo Aranjuez-Ciudad de las Artes,Desconocido,False
226,25,720.0,flat,110.0,False,2,1,Calle Alfonso X el Sabio,Parla,402.303.494,-37.672.134,False,21417,True,good,False,True,False,True,False,Desconocido,Las Américas,Desconocido,True
227,28,720.0,flat,48.0,False,2,1,Calle Tejar de la Pastora,Madrid,404.043.015,-366.459,False,3551,True,good,False,True,False,True,False,bj,Puente de Vallecas,Numancia,False
228,33,700.0,flat,57.0,False,2,1,Calle de Rocafort,Madrid,403.419.687,-36.878.728,False,8410,True,good,False,True,False,True,False,4,Villaverde,San Cristóbal,False
229,19,750.0,duplex,75.0,True,2,2,Calle Lirio,Cobeña,405.695.498,-34.999.067,False,24176,False,good,False,False,False,False,False,1,Desconocido,Desconocido,False
230,26,610.0,studio,26.0,False,0,1,Calle Ana María,Madrid,404.647.578,-37.026.911,False,5343,True,good,False,True,False,True,False,3,Tetuán,Valdeacederas,True
231,25,740.0,flat,52.0,False,2,1,Calle Agustina de Aragón,Móstoles,403.198.404,-38.664.536,False,17525,True,good,False,True,False,True,False,4,Centro,Desconocido,False
232,33,715.0,flat,62.0,True,2,1,Transcantábrico,Colmenar Viejo,406.474.693,-37.843.419,False,26558,False,good,False,False,False,True,False,bj,San Crispín - La Estación Consorcio,Desconocido,True
233,28,550.0,flat,57.0,False,2,1,Glorieta del Clavel,Aranjuez,400.342.868,-3.593.946,False,43521,True,good,False,True,False,True,False,bj,Foso-Moreras,Desconocido,False
234,45,710.0,flat,36.0,True,1,1,Calle de Sebastián Elcano,Madrid,404.060.404,-36.965.218,False,1315,True,good,False,True,False,True,False,bj,Arganzuela,Palos de Moguer,False
235,26,730.0,flat,51.0,True,2,1,Calle de Getafe,Madrid,403.440.558,-37.092.341,False,8093,True,good,False,True,False,True,False,2,Villaverde,Villaverde Alto,False
236,21,750.0,studio,23.0,True,0,1,Calle de la Princesa,Madrid,404.260.458,-37.137.453,False,1367,True,good,False,False,False,False,False,8,Centro,Malasaña-Universidad,True
237,27,690.0,flat,33.0,False,1,1,Calle Ana María,Madrid,404.637.578,-37.033.911,False,5232,True,good,False,True,False,True,False,3,Tetuán,Valdeacederas,True
238,32,740.0,flat,73.0,True,3,1,Calle de Enrique Granados,Parla,402.284.935,-37.769.246,False,21838,True,good,False,True,False,True,False,4,Fuentebella-San Felix-El Leguario,Desconocido,True
239,38,750.0,duplex,66.0,True,1,1,Calle del Capitán Blanco Argibay,Madrid,404.671.802,-37.080.651,False,5627,True,good,False,True,False,True,False,bj,Tetuán,Valdeacederas,True
240,29,720.0,flat,44.0,False,3,1,Avenida de Espinela,Madrid,403.432.945,-37.089.766,False,8176,True,good,False,True,False,True,False,2,Villaverde,Villaverde Alto,False
241,27,475.0,flat,79.0,True,2,2,rivero,Navalafuente,408.214.857,-36.735.554,False,45077,False,good,False,False,False,False,False,2,Desconocido,Desconocido,True
242,26,740.0,flat,41.0,True,2,1,Travesía Doctor Sánchez,Madrid,403.831.822,-36.677.543,False,4787,True,good,False,True,False,True,False,2,Puente de Vallecas,San Diego,False
243,31,740.0,flat,57.0,True,1,1,Calle del Ánsar,Madrid,404.019.497,-37.416.593,False,3642,True,good,False,True,False,True,False,1,Latina,Los Cármenes,True
