,numPhotos,price,propertyType,size,exterior,rooms,bathrooms,municipality,showAddress,distance,hasVideo,status,newDevelopment,hasPlan,has3DTour,has360,topNewDevelopment,floor,district,neighborhood,hasLift
187,27,720.0,flat,54.0,True,1,1,Madrid,False,3296,True,good,False,True,False,True,False,bj,Carabanchel,San Isidro,False
188,8,550.0,penthouse,75.0,True,2,2,Villa del Prado,False,53247,False,good,False,False,False,False,False,Desconocido,Desconocido,Desconocido,False
189,30,720.0,flat,49.0,False,3,1,Madrid,False,8411,True,good,False,True,False,True,False,3,Villaverde,San Cristóbal,False
190,38,740.0,flat,65.0,True,3,1,Madrid,False,8443,False,good,False,False,False,False,False,1,Vicálvaro,Ambroz,True
191,72,660.0,flat,155.0,False,3,2,Aranjuez,False,41119,True,good,False,True,False,False,False,Desconocido,Desconocido,Desconocido,True
192,26,720.0,flat,56.0,False,2,1,Madrid,False,6691,True,good,False,True,False,True,False,4,Villaverde,Los Rosales,False
193,22,650.0,flat,31.0,False,1,1,Madrid,False,1207,False,good,False,False,False,False,False,3,Centro,Lavapiés-Embajadores,False
194,28,650.0,flat,96.0,True,2,1,Aranjuez,False,43953,True,good,False,True,False,True,False,3,Nuevo Aranjuez-Ciudad de las Artes,Desconocido,False
195,29,660.0,flat,168.0,False,4,2,Aranjuez,False,41221,True,good,False,True,False,True,False,3,La Montaña-El Cortijo,Desconocido,True
196,19,690.0,flat,64.0,True,2,1,Alcalá de Henares,False,30634,False,good,False,False,False,False,False,bj,Val,Desconocido,False
197,24,750.0,studio,25.0,True,0,1,Madrid,False,3177,False,good,False,True,False,False,False,5,Barrio de Salamanca,Lista,True
198,29,725.0,flat,45.0,True,1,1,Madrid,True,10508,False,good,False,True,False,False,False,2,San Blas,Rejas,True
199,31,620.0,flat,85.0,False,1,1,Pinto,False,19767,True,good,False,True,False,True,False,bj,San José - Buenos Aires,Desconocido,True
200,25,590.0,flat,52.0,True,1,1,Los Molinos,False,44526,False,good,False,False,False,False,False,bj,Desconocido,Desconocido,False
201,15,750.0,penthouse,80.0,True,0,1,Tres Cantos,False,20818,False,good,False,False,False,False,False,1,Zona Industrial,Desconocido,True
202,24,720.0,studio,36.0,True,0,1,Madrid,False,5975,False,good,False,False,False,True,False,2,Ciudad Lineal,San Juan Bautista,True
203,16,700.0,flat,82.0,True,2,1,San Lorenzo de el Escorial,False,42463,False,good,False,False,False,False,False,3,Centro - Casco Histórico,Desconocido,False
204,19,692.0,flat,83.0,True,2,2,Torrejón de Ardoz,True,20294,False,newdevelopment,True,True,False,False,False,Desconocido,Suroeste,Desconocido,True
205,19,670.0,flat,79.0,True,2,2,Torrejón de Ardoz,True,20294,False,newdevelopment,True,True,False,False,False,Desconocido,Suroeste,Desconocido,True
206,14,609.0,flat,56.0,True,1,1,Alcalá de Henares,True,30186,False,newdevelopment,True,True,False,False,False,bj,Espartales,Desconocido,True
207,19,718.0,flat,86.0,True,2,2,Torrejón de Ardoz,True,20294,False,newdevelopment,True,True,False,False,False,Desconocido,Suroeste,Desconocido,True
208,19,694.0,flat,81.0,True,2,2,Torrejón de Ardoz,True,20294,False,newdevelopment,True,True,False,False,False,Desconocido,Suroeste,Desconocido,True
209,19,658.0,flat,78.0,True,2,2,Torrejón de Ardoz,True,20294,False,newdevelopment,True,True,False,False,False,Desconocido,Suroeste,Desconocido,True
210,11,750.0,flat,36.0,False,2,1,Madrid,True,3620,False,good,False,False,False,False,False,2,Tetuán,Bellas Vistas,True
211,19,723.0,flat,88.0,True,2,2,Torrejón de Ardoz,True,20294,False,newdevelopment,True,True,False,False,False,Desconocido,Suroeste,Desconocido,True
212,19,728.0,flat,91.0,True,2,2,Torrejón de Ardoz,True,20294,False,newdevelopment,True,True,False,False,False,Desconocido,Suroeste,Desconocido,True
213,16,650.0,studio,28.0,True,0,1,Madrid,False,4920,False,good,False,False,False,True,False,bj,Tetuán,Valdeacederas,False
214,23,750.0,flat,60.0,False,2,1,Alcalá de Henares,False,29663,True,good,False,False,False,False,False,1,Casco Histórico,Desconocido,False
215,30,735.0,flat,60.0,True,3,1,Parla,False,20886,True,good,False,True,False,True,False,4,Parque Inlasa,Desconocido,False
216,24,699.0,penthouse,78.0,True,2,1,Colmenar Viejo,True,27684,False,good,False,False,False,False,False,2,Centro,Desconocido,False
217,28,725.0,flat,67.0,True,3,1,Móstoles,False,17191,True,good,False,True,False,True,False,4,Centro,Desconocido,False
218,21,740.0,flat,77.0,True,3,2,Alcalá de Henares,False,28385,True,good,False,True,False,True,False,bj,Reyes Católicos,Desconocido,True
219,20,720.0,flat,73.0,True,1,1,Collado Villalba,True,34761,False,good,False,True,False,False,False,2,Villalba Estación,Desconocido,True
220,21,750.0,flat,79.0,True,3,1,Getafe,True,11728,False,good,False,False,False,False,False,en,Universidad,Desconocido,True
221,30,710.0,flat,66.0,True,3,1,Parla,False,20588,True,good,False,True,False,True,False,4,Parque Inlasa,Desconocido,False
222,42,725.0,flat,62.0,True,2,1,Madrid,False,7748,True,good,False,False,False,True,False,3,Latina,Águilas,False
223,22,750.0,flat,46.0,False,1,1,Madrid,True,5680,False,good,False,False,False,False,False,bj,Carabanchel,Puerta Bonita,False
224,32,750.0,flat,61.0,True,2,1,Madrid,True,3161,False,good,False,False,False,False,False,1,Carabanchel,Opañel,True
225,28,730.0,flat,161.0,True,4,1,Aranjuez,False,44159,True,good,False,True,False,True,False,3,Nuevo Aranjuez-Ciudad de las Artes,Desconocido,False
226,25,720.0,flat,110.0,False,2,1,Parla,False,21417,True,good,False,True,False,True,False,Desconocido,Las Américas,Desconocido,True
227,28,720.0,flat,48.0,False,2,1,Madrid,False,3551,True,good,False,True,False,True,False,bj,Puente de Vallecas,Numancia,False
228,33,700.0,flat,57.0,False,2,1,Madrid,False,8410,True,good,False,True,False,True,False,4,Villaverde,San Cristóbal,False
229,19,750.0,duplex,75.0,True,2,2,Cobeña,False,24176,False,good,False,False,False,False,False,1,Desconocido,Desconocido,False
230,26,610.0,studio,26.0,False,0,1,Madrid,False,5343,True,good,False,True,False,True,False,3,Tetuán,Valdeacederas,True
231,25,740.0,flat,52.0,False,2,1,Móstoles,False,17525,True,good,False,True,False,True,False,4,Centro,Desconocido,False
232,33,715.0,flat,62.0,True,2,1,Colmenar Viejo,False,26558,False,good,False,False,False,True,False,bj,San Crispín - La Estación Consorcio,Desconocido,True
233,28,550.0,flat,57.0,False,2,1,Aranjuez,False,43521,True,good,False,True,False,True,False,bj,Foso-Moreras,Desconocido,False
234,45,710.0,flat,36.0,True,1,1,Madrid,False,1315,True,good,False,True,False,True,False,bj,Arganzuela,Palos de Moguer,False
235,26,730.0,flat,51.0,True,2,1,Madrid,False,8093,True,good,False,True,False,True,False,2,Villaverde,Villaverde Alto,False
236,21,750.0,studio,23.0,True,0,1,Madrid,False,1367,True,good,False,False,False,False,False,8,Centro,Malasaña-Universidad,True
237,27,690.0,flat,33.0,False,1,1,Madrid,False,5232,True,good,False,True,False,True,False,3,Tetuán,Valdeacederas,True
238,32,740.0,flat,73.0,True,3,1,Parla,False,21838,True,good,False,True,False,True,False,4,Fuentebella-San Felix-El Leguario,Desconocido,True
239,38,750.0,duplex,66.0,True,1,1,Madrid,False,5627,True,good,False,True,False,True,False,bj,Tetuán,Valdeacederas,True
240,29,720.0,flat,44.0,False,3,1,Madrid,False,8176,True,good,False,True,False,True,False,2,Villaverde,Villaverde Alto,False
241,27,475.0,flat,79.0,True,2,2,Navalafuente,False,45077,False,good,False,False,False,False,False,2,Desconocido,Desconocido,True
242,26,740.0,flat,41.0,True,2,1,Madrid,False,4787,True,good,False,True,False,True,False,2,Puente de Vallecas,San Diego,False
243,31,740.0,flat,57.0,True,1,1,Madrid,False,3642,True,good,False,True,False,True,False,1,Latina,Los Cármenes,True
244,33,740.0,flat,62.0,True,2,1,Colmenar Viejo,False,26890,False,good,False,False,False,True,False,1,San Crispín - La Estación Consorcio,Desconocido,True
245,47,700.0,flat,74.0,False,2,1,Getafe,False,9950,True,good,False,True,False,True,False,4,Getafe norte,Desconocido,False
246,22,730.0,flat,35.0,False,1,1,Madrid,False,760,False,good,False,False,False,False,False,2,Centro,Chueca-Justicia,True
247,25,700.0,studio,28.0,True,0,1,Madrid,False,9700,False,good,False,False,False,False,False,3,Fuencarral,Montecarmelo,True
248,28,600.0,chalet,180.0,False,3,2,Meco,False,35543,False,good,False,False,False,False,False,Desconocido,Desconocido,Desconocido,False
249,23,750.0,flat,109.0,True,2,2,Valdemoro,False,24455,False,good,False,False,False,False,False,3,Hospital,Desconocido,True
250,16,749.0,flat,38.0,True,1,1,Madrid,True,6506,False,good,False,False,False,True,False,2,Carabanchel,Pau de Carabanchel,True
251,7,700.0,studio,30.0,False,0,1,Madrid,False,2411,False,good,False,False,False,False,False,bj,Retiro,Pacífico,True
252,15,667.0,flat,70.0,True,1,1,Parla,True,21185,False,good,False,False,False,False,False,8,Parla Este,Desconocido,True
253,22,725.0,flat,45.0,False,1,1,Madrid,False,10398,False,good,False,False,False,False,False,1,San Blas,Rejas,True
254,21,550.0,penthouse,70.0,True,3,1,Robledo de Chavela,False,47595,False,good,False,False,False,False,False,3,Desconocido,Desconocido,False
255,29,695.0,flat,55.0,True,3,1,Parla,False,19765,True,good,False,True,False,True,False,4,Villayuventus-Renfe,Desconocido,False
256,35,750.0,flat,105.0,True,3,1,Campo Real,False,28810,False,good,False,False,False,False,False,1,Desconocido,Desconocido,False
257,24,699.0,flat,52.0,True,1,1,Madrid,True,7092,False,good,False,False,False,False,False,3,Puente de Vallecas,Palomeras sureste,True
258,18,750.0,studio,32.0,True,0,1,Madrid,False,5006,True,good,False,False,False,False,False,14,Ciudad Lineal,San Pascual,True
259,14,730.0,flat,80.0,True,3,1,Collado Villalba,False,35774,False,good,False,False,False,False,False,4,Carlos Ruiz,Desconocido,False
260,27,710.0,flat,30.0,True,1,1,Madrid,False,1156,True,good,False,True,False,True,False,bj,Centro,Lavapiés-Embajadores,False
261,20,650.0,flat,58.0,True,1,1,Madrid,True,5924,False,good,False,False,False,False,False,4,Puente de Vallecas,Palomeras sureste,True
262,19,600.0,countryHouse,60.0,False,2,2,Villaviciosa de Odón,True,23776,True,renew,False,False,False,False,False,Desconocido,Centro,Desconocido,True
263,28,740.0,flat,41.0,True,2,1,Madrid,False,8358,True,good,False,True,False,True,False,3,Villa de Vallecas,Casco Histórico de Vallecas,False
264,25,525.0,flat,40.0,True,1,1,Aranjuez,False,43059,True,good,False,True,False,True,False,3,Foso-Moreras,Desconocido,True
265,11,750.0,studio,35.0,True,0,1,Madrid,False,1272,False,good,False,False,False,False,False,4,Moncloa,Argüelles,False
266,28,750.0,flat,74.0,True,3,1,Alcalá de Henares,False,29245,True,good,False,True,False,True,False,2,Chorrillo,Desconocido,True
267,25,710.0,flat,69.0,True,3,1,Alcalá de Henares,False,28440,True,good,False,True,False,True,False,5,Reyes Católicos,Desconocido,True
268,27,560.0,studio,46.0,True,0,1,Madrid,False,3786,True,good,False,True,False,True,False,bj,Puente de Vallecas,Numancia,False
269,25,600.0,flat,42.0,True,1,1,Torrejón de Ardoz,False,18905,False,good,False,False,False,False,False,bj,Noroeste,Desconocido,False
270,17,720.0,flat,44.0,True,1,1,Madrid,False,3589,False,good,False,True,False,False,False,ss,Carabanchel,San Isidro,False
